src,dst,num_paths,paths
9,13,8,"[[9, 13], [9, 7, 8, 14, 12, 13], [9, 1, 5, 8, 14, 12, 13], [9, 7, 5, 8, 14, 12, 13], [9, 4, 7, 8, 14, 12, 13], [9, 4, 5, 8, 14, 12, 13], [9, 1, 4, 5, 8, 14, 12, 13], [9, 1, 5, 7, 8, 14, 12, 13]]"
9,14,8,"[[9, 7, 8, 14], [9, 13, 12, 14], [9, 7, 5, 8, 14], [9, 1, 5, 8, 14], [9, 4, 5, 8, 14], [9, 4, 7, 8, 14], [9, 7, 4, 5, 8, 14], [9, 1, 4, 7, 8, 14]]"
10,11,8,"[[10, 9, 1, 11], [10, 9, 4, 11], [10, 9, 1, 4, 11], [10, 9, 7, 4, 11], [10, 9, 4, 1, 11], [10, 9, 1, 5, 4, 11], [10, 9, 7, 5, 1, 11], [10, 9, 7, 4, 1, 11]]"
10,12,8,"[[10, 9, 13, 12], [10, 9, 7, 8, 14, 12], [10, 9, 1, 5, 8, 14, 12], [10, 9, 7, 5, 8, 14, 12], [10, 9, 4, 5, 8, 14, 12], [10, 9, 4, 7, 8, 14, 12], [10, 9, 1, 4, 5, 8, 14, 12], [10, 9, 1, 5, 7, 8, 14, 12]]"
10,13,8,"[[10, 9, 13], [10, 9, 7, 8, 14, 12, 13], [10, 9, 1, 5, 8, 14, 12, 13], [10, 9, 7, 5, 8, 14, 12, 13], [10, 9, 4, 5, 8, 14, 12, 13], [10, 9, 4, 7, 8, 14, 12, 13], [10, 9, 1, 4, 5, 8, 14, 12, 13], [10, 9, 1, 5, 7, 8, 14, 12, 13]]"
10,14,8,"[[10, 9, 7, 8, 14], [10, 9, 13, 12, 14], [10, 9, 7, 5, 8, 14], [10, 9, 1, 5, 8, 14], [10, 9, 4, 5, 8, 14], [10, 9, 4, 7, 8, 14], [10, 9, 7, 4, 5, 8, 14], [10, 9, 1, 4, 7, 8, 14]]"
11,12,8,"[[11, 1, 9, 13, 12], [11, 4, 9, 13, 12], [11, 1, 4, 9, 13, 12], [11, 4, 1, 9, 13, 12], [11, 1, 5, 8, 14, 12], [11, 4, 7, 9, 13, 12], [11, 4, 5, 8, 14, 12], [11, 4, 7, 8, 14, 12]]"
11,13,8,"[[11, 1, 9, 13], [11, 4, 9, 13], [11, 1, 4, 9, 13], [11, 4, 1, 9, 13], [11, 4, 7, 9, 13], [11, 1, 5, 4, 9, 13], [11, 1, 4, 7, 9, 13], [11, 4, 5, 1, 9, 13]]"
11,14,8,"[[11, 1, 5, 8, 14], [11, 4, 5, 8, 14], [11, 4, 7, 8, 14], [11, 1, 9, 7, 8, 14], [11, 1, 5, 7, 8, 14], [11, 4, 5, 7, 8, 14], [11, 4, 1, 5, 8, 14], [11, 4, 7, 5, 8, 14]]"
12,13,8,"[[12, 13], [12, 14, 8, 7, 9, 13], [12, 14, 8, 5, 1, 9, 13], [12, 14, 8, 7, 4, 9, 13], [12, 14, 8, 5, 4, 9, 13], [12, 14, 8, 5, 7, 9, 13], [12, 14, 8, 5, 1, 4, 9, 13], [12, 14, 8, 7, 5, 1, 9, 13]]"
12,14,8,"[[12, 14], [12, 13, 9, 7, 8, 14], [12, 13, 9, 1, 5, 8, 14], [12, 13, 9, 7, 5, 8, 14], [12, 13, 9, 4, 7, 8, 14], [12, 13, 9, 4, 5, 8, 14], [12, 13, 9, 1, 4, 5, 8, 14], [12, 13, 9, 1, 5, 7, 8, 14]]"
13,14,8,"[[13, 12, 14], [13, 9, 7, 8, 14], [13, 9, 1, 5, 8, 14], [13, 9, 7, 5, 8, 14], [13, 9, 4, 5, 8, 14], [13, 9, 4, 7, 8, 14], [13, 9, 1, 4, 5, 8, 14], [13, 9, 1, 5, 7, 8, 14]]"
